Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
2526,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,35035,42249
2527,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,28144,30918
2528,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,16540,25137
2529,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,25828,39231
2530,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,24279,32306
2531,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,16128,18012
2532,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,10717,15946
2533,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,20923,25578
2534,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,62049,62049
2535,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,23296,33711
2536,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,20254,22593
2537,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,14470,19407
2538,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,22655,28937
2539,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,80501,80501
2540,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,12135,12135
2541,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,13204,13204
2542,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,9410,10413
2543,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,4890,8855
2544,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,17483,19968
2545,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,65592,69843
2546,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,45266,47578
2547,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,32085,33607
2548,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,23407,31283
2549,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,33372,44270
2550,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,24575,26811
2551,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,11634,11634
2552,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,6548,7372
2553,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,5211,6249
